what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser",1273664785871
opened,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1273664786403
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1273664786634
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1273664790432
closed,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1273664790433
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1273664791420
executed,command,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.launchShortcut.run",1273664797087
opened,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1273664797311
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1273664797510
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1273664806803
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1273664848690
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1273664852331
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1273664853339
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1273664943463
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1273664943816
closed,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1273664943816
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1273664967492
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1273664975899
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1273664979274
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1273664992095
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1273664993155
